Disease,Protein
D102300,Q96Q07
D102300,P02787
D102300,O00470
D102300,P01189
D102400,O75844
D102500,P08567
D102500,P08887
D102500,Q9Y240
D102500,P28066
D102500,O75844
D102500,Q8IUH4
D102500,P11511
D102500,P07355
D102500,P31939
D102500,P05231
D102500,P55809
D102500,P02675
D102500,P00491
D102500,Q9Y625
D102500,P07237
D102500,O14788
D102500,Q15404
D102500,O95336
D102500,P68363
D102500,P00918
D102500,Q07973
D102500,P48735
D102500,P50479
D102500,P58335
D102500,P67936
D102500,P04179
D102500,O00625
D102500,Q99685
D102500,P01189
D102500,Q01518
D102500,Q5T7V8
D102500,P78371
D102500,P11473
D102500,P01270
D102500,P06733
D102500,P30988
D102500,P06396
D102500,P04406
D102500,Q99497
D102500,P02788
D102500,P00797
D102500,Q96AH8
D102500,O75083
D102500,P25787
D102500,P60174
D102500,P30048
D102500,P63261
D102500,P14618
D102500,Q01081
D102500,P01137
D102500,O00300
D102500,P43304
D102500,Q9UEF7
D102500,P04628
D102500,P02671
D102500,P07203
D103285,Q9H3D4
D103780,P10275
D103780,P01213
D103780,P41145
D103780,Q14289
D103780,P07099
D103780,Q93096
D103780,O95817
D103780,P27338
D103780,Q33E94
D103780,P30532
D103780,Q93088
D103780,P59533
D103780,Q01959
D103780,P55286
D103780,P16220
D103780,Q07343
D103780,Q5VXU1
D103780,P40394
D103780,Q9UBU2
D103780,P08913
D103780,P20396
D103780,Q99808
D103780,P04040
D103780,Q9NZD8
D103780,P16442
D103780,Q16552
D103780,Q16568
D103780,Q4KMZ8
D103780,Q32M78
D103780,P47869
D103780,P28332
D103780,P32238
D103780,P32297
D103780,Q14832
D103780,P17516
D103780,Q8WYQ9
D103780,Q9NRA2
D103780,Q9UIG8
D103780,Q9UBS5
D103780,P19440
D103780,P00797
D103780,P49798
D103780,Q9Y6N8
D103780,P11766
D103780,P35462
D103780,O43556
D103780,P09429
D103780,P81172
D103780,P55290
D103780,P29401
D103780,P42330
D103780,O95264
D103780,Q8IZL9
D103780,Q05586
D103780,Q16696
D103780,P41146
D103780,Q13003
D103780,P14136
D103780,P07101
D103780,P19838
D103780,P20813
D103780,P55287
D103780,P17677
D103780,Q05940
D103780,P17752
D103780,O60755
D103780,Q99720
D103780,P49589
D103780,P08172
D103780,Q16620
D103780,P24387
D103780,P41143
D103780,P21917
D103780,P09172
D103780,Q9UI26
D103780,P16083
D103780,P43694
D103780,O75019
D103780,P22301
D103780,Q13901
D103780,P34998
D103780,Q8WXE9
D103780,P23975
D103780,Q15053
D103780,P21673
D103780,P15328
D103780,P0C0P6
D103780,Q14416
D103780,P55291
D103780,Q9NYV7
D103780,P04637
D103780,P02787
D103780,P23560
D103780,Q99733
D103780,P18505
D103780,P28223
D103780,Q16653
D103780,Q9UKV8
D103780,P07327
D103780,Q9UI15
D103780,P30990
D103780,P00325
D103780,P05091
D103780,O60806
D103780,P00352
D103780,Q9NQX3
D103780,Q13634
D103780,P08319
D103780,O00222
D103780,Q53GA4
D103780,P50135
D103780,Q96KN3
D103780,Q9Y233
D103780,Q99259
D103780,P06307
D103780,Q92820
D103780,Q16445
D103780,P00326
D103780,P28476
D103780,Q15011
D103780,Q6P4E1
D103780,P37840
D103780,P27986
D103780,P02686
D103780,P14416
D103780,Q13875
D103780,P06241
D103780,Q92481
D103780,O14901
D103780,P46098
D103780,P34969
D103780,Q13451
D103780,P13010
D103780,Q9NRR1
D103780,P21728
D103780,P29322
D103780,Q9H892
D103780,P31645
D103780,Q8N1K5
D103780,Q92769
D103780,P30989
D103780,Q7LC44
D103780,P13591
D103780,P25103
D103780,Q99928
D103780,P12104
D103780,P42898
D103780,P14867
D103780,P18507
D103780,P24046
D103780,P14780
D103780,Q9UL18
D103780,Q8N1C3
D103780,P04406
D103780,P21964
D103780,Q9ULB4
D103780,O00505
D103780,P55289
D103780,P08908
D103780,P14550
D103780,Q9C0B1
D103780,P01178
D103780,P43681
D103780,P41159
D103780,P18510
D103780,P30084
D103780,P04278
D103780,P18440
D103780,P28222
D103780,Q9UD71
D103780,P63244
D103780,P15104
D103780,P34972
D103780,P43004
D103780,P06850
D103780,Q96SA4
D103780,P21554
D103780,P08253
D103780,Q15761
D103780,P01241
D103780,P29371
D103780,O15516
D103780,P01229
D103780,Q14114
D103780,P28335
D103780,P05231
D103780,Q8NFD2
D103780,P26232
D103780,P30926
D103780,P47870
D103780,P43354
D103780,P02649
D103780,P35372
D103780,P08621
D103780,P39086
D103780,P21397
D103780,Q9H0X9
D103780,P49146
D103780,P05181
D103780,Q9NRP4
D103780,Q6W5P4
D103780,P01189
D103780,Q05901
D103780,P48051
D103780,P31213
D103780,P20366
D103780,P15289
D103780,P31644
D103780,Q16555
D103780,Q96S53
D103780,Q14831
D103780,Q9UQM7
D103780,P22466
D103780,P33151
D103780,Q9GZQ4
D103780,P01303
D103780,Q7Z3E1
D103780,Q96NT5
D103780,P18405
D103780,Q9BQI5
D103780,Q92527
D103780,P30531
D103780,P28472
D103780,Q92847
D103780,Q8N0W4
D103780,P01225
D103780,P01903
D103780,P01584
D103780,Q96BI1
D104130,P25101
D104130,P10275
D104130,P10644
D104130,P42898
D104130,P11473
D104130,P26651
D104130,O00220
D104130,Q92743
D104130,P53634
D104130,Q8IUH4
D104130,P27169
D104130,P09874
D104130,P61586
D104130,P48449
D104130,P06850
D104130,Q8IYB8
D104130,P31213
D104130,P11926
D104300,O14672
D104300,Q00059
D104300,O96008
D104300,P06276
D104300,P56817
D104300,P20138
D104300,P27338
D104300,Q9UHI8
D104300,P0DP25
D104300,P04179
D104300,O95185
D104300,Q9NZC7
D104300,P06733
D104300,P01308
D104300,P05019
D104300,P22303
D104300,P01344
D104300,Q6NXT4
D104300,P14735
D104300,O00499
D104300,Q30154
D104300,P01034
D104300,P49841
D104300,Q92542
D104300,P00734
D104300,P36544
D104300,O14773
D104300,Q92692
D104300,Q15392
D104300,Q96JQ5
D104300,P10909
D104300,P17787
D104300,P02787
D104300,P23560
D104300,P10636
D104300,Q9P2A4
D104300,P42574
D104300,O00264
D104300,P05067
D104300,P37231
D104300,P25705
D104300,P49768
D104300,Q9NZC2
D104300,Q30201
D104300,P04156
D104300,P01375
D104300,Q7LC44
D104300,Q9NQ75
D104300,P10082
D104300,P42898
D104300,P05164
D104300,P60174
D104300,P41159
D104300,Q13492
D104300,O14556
D104300,P00749
D104300,P49810
D104300,P09601
D104300,P06850
D104300,P14672
D104300,Q9Y6A2
D104300,P02649
D104300,P21709
D104300,Q9Y5K6
D104300,P15692
D104300,P62760
D104300,P03372
D104300,Q16555
D104300,Q07812
D104300,Q8N0W5
D104300,Q9UKV5
D104300,P05198
D104300,P10415
D104300,P01303
D104300,O14863
D104300,P02654
D104300,P10635
D104300,P01584
D104310,P02649
D106100,P09871
D106100,P00748
D106100,P01042
D106100,P05155
D106400,P21802
D106400,P04264
D106400,P55000
